datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,7.29,,,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,7.29,,,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:02,7.29,,,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-26 23:37,7.29,,,yfinance 分析師共識 (抓取 2026-07-26)
2026-07-29 16:11,7.29,,,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,7.29,,,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,7.29,,,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,7.29,,,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,7.29,,,yfinance 分析師共識 (抓取 2026-07-31)
2026-08-03 10:23,7.29,,,yfinance 分析師共識 (抓取 2026-08-03)
2026-08-04 09:32,7.29,,,yfinance 分析師共識 (抓取 2026-08-04)
